timestamp,run_id,scenario,step,target,status,duration_sec,message
2026-07-22T16:41:24+09:00,20260722-164109,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,1,"completed"
2026-07-22T16:41:24+09:00,20260722-164109,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,0,"completed"
2026-07-22T16:41:27+09:00,20260722-164109,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,3,"completed"
2026-07-22T16:41:33+09:00,20260722-164109,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,6,"completed"
2026-07-22T16:41:36+09:00,20260722-164109,provision-dr,terraform_init_04-eks-workloads,04-eks-workloads,SUCCESS,3,"completed"
2026-07-22T16:41:42+09:00,20260722-164109,provision-dr,terraform_apply_04-eks-workloads,04-eks-workloads,SUCCESS,6,"completed"
2026-07-22T16:41:45+09:00,20260722-164109,provision-dr,terraform_init_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,3,"completed"
2026-07-22T16:42:13+09:00,20260722-164109,provision-dr,terraform_apply_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,28,"completed"
2026-07-22T16:42:13+09:00,20260722-164109,provision-dr,wait_argocd_cluster_secret,onprem-argocd,SUCCESS,0,"completed"
2026-07-22T16:42:14+09:00,20260722-164109,provision-dr,apply_applicationsets,onprem-argocd,SUCCESS,1,"completed"
2026-07-22T16:42:14+09:00,20260722-164109,provision-dr,wait_eks_b_gitops_applications,eks-b,SUCCESS,0,"completed"
2026-07-22T16:42:15+09:00,20260722-164109,provision-dr,wait_eks_b_app_pods,eks-b,FAILED,1,"exit_code=1"
2026-07-22T16:42:15+09:00,20260722-164109,provision-dr,total,provision-dr,FAILED,66,"EKS-B 애플리케이션 Pod Ready 실패"
2026-07-22T16:47:15+09:00,20260722-163043,provision-dr,wait_eks_b_gitops_applications,eks-b,FAILED,927,"exit_code=1"
2026-07-22T16:47:15+09:00,20260722-163043,provision-dr,total,provision-dr,FAILED,992,"EKS-B GitOps Application 배포 실패"
2026-07-22T16:52:27+09:00,20260722-165227,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-07-22T16:52:27+09:00,20260722-165227,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:52:27+09:00,20260722-165227,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:52:27+09:00,20260722-165227,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:52:27+09:00,20260722-165227,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:52:31+09:00,20260722-165227,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,4,"completed"
2026-07-22T16:52:32+09:00,20260722-165227,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,3,"completed"
2026-07-22T16:52:32+09:00,20260722-165227,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,0,"completed"
2026-07-22T16:52:35+09:00,20260722-165227,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,2,"completed"
2026-07-22T16:52:36+09:00,20260722-165227,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:52:36+09:00,20260722-165227,switch-to-onprem,total,switch-to-onprem,SUCCESS,9,"온프레미스 긴급 우회 완료"
2026-07-22T16:52:38+09:00,20260722-165227,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,7,"completed"
2026-07-22T16:52:40+09:00,20260722-165227,provision-dr,update_kubeconfig,eks-b,SUCCESS,1,"completed"
2026-07-22T16:52:40+09:00,20260722-165227,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
2026-07-22T16:52:41+09:00,20260722-165227,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,1,"completed"
2026-07-22T16:52:42+09:00,20260722-165227,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,1,"completed"
2026-07-22T16:52:44+09:00,20260722-165227,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,2,"completed"
2026-07-22T16:52:49+09:00,20260722-165227,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,5,"completed"
